text,emotions
испанияда су тасқынынан қаза тапқан адамдар саны ден асуы мүмкін бейресми ақпарат көздері испаниялық баққа сілтеме жасап хабарлауынша дана торнадосы ірі су тасқынынан қаза тапқандар саны ден асуы мүмкін испанияда су тасқынынан қаза тапқандарды іздеу жұмыстары жалғасып жатыр el español сайтындағы мәлімет бойынша табылған мәйіттер фургондарда тасымалданып жатыр деп хабарлайды олардың көпшілігі әлі анықталған жоқ ізтүссіз жоғалғандар тізімінде тұрғандардың туыстары қалалық әкімшілік ғимаратының сыртында кезекке тұрған материалдықтехникалық қамтамасыз ету мәселесі өзекті сот ғимаратында орындар жеткіліксіз деп жазады мақала авторлары қаза тапқандар мен зардап шеккендерді іздеумен айналысып жатқан бейресми дереккөздер құрбандардың саны жақын арада ге жетеді деп отыр испаниядағы төтенше жағдайлар қызметкерлерінің айтуынша әлі де су басқан жерлер көп ол жерлерде де қаза болғандар табылуы мүмкін соңғы мәліметтер бойынша зардап шеккен адам тіркелді ізтүзсіз жоғалғандардың санын нақты анықтау мүмкін емес ізтүзсіз жоғалғандар туралы деректер бар бұл адамдар туыстарын таба алмай жатқаны туралы хабарламалармен қоңыраулар саны бірақ қоңыраулардың негізгі саны байланыс үзілуінен болғаны белгілі сонымен қатар туыстарын тапқан адамдар бұл туралы хабарламауы мүмкін деді испанияның ішкі істер министрі фернандо грандемарласка,"""['қайғы']"""
францияда қазақ тарихына арналған көрме ашылады ұлы дала жауһарлары франция төрінде көрсетіледі қарашада париждегі гиме музейінде қазақ тарихына арналған көрме ашылады деп хабарлайды kz телеарнасы көпшілік назарына жылдық кезеңді қамтитын көшпелілер мәдениетіне тән сирек артефакттар ұсынылады оны қазақстандық музейлер ұсынған қазір франция астанасында аталған шара қарсаңында ауқымды жарнама науқаны жүріп жатыр қазір париждегі ісшара қарсаңында ауқымды жарнама науқаны жүріп жатыр айта кетейік көрме бес айға жалғасады ісшара еліміздің мәдениет және ақпарат министрлігі мен қазақстанның франциядағы елшілігінің қолдауымен ұйымдастырылып отыр жалпы гиме музейі азия өнері жинағы бойынша еуропадағы ең ірісі саналады жыл сайын ондағы жәдігерлерді тамашалауға мыңдай адам келеді,"""['қуаныш']"""
қазақстанның оңтүстікшығысында жер сілкінді алматыдан шақырым жерде қырғызстан мен қытай шекарасында жер сілкінісі болды мұны алматы облысының тұрғындары да сезді деп хабарлайды төтенше жағдайлар министрлігіне сілтеме жасаған kaznurkz тжм сейсмологиялык зерттеу институты жшс сейсмикалық станциялар желісімен жылғы қарашада астана уақытымен сағат мин жер сілкінісі тіркелді жер сілкінісінің ошағы қырғызстан мен қытай шекарасында алматы қаласынан оңтүстікшығысқа қарай км жерде орналасқан балдық жер дүмпуін алматы облысы райымбек ауданы нарынқол және кеген ауданы кеген ауылдары таулы аймақтар тұрғындары сезді зардап шеккендер мен қираулар туралы мәлімет түскен жоқ тжм өкілдері жер сілкінісі кезіндегі қарапайым қадамды ұсынды жер дүмпуі кезінде үрейленбеңіз жер сілкіну кезінде лифт және баспалдақпен қолданбаңыз жиhаздан терезеден ары тұрыңыз жасырынатын жерді табыңыз жоғарғы қабаттарда негізгі іргелі қабырғалардың бұрышында орын алып жасырыңыз ғимараттан шығыңыз төменгі қабаттарда көп қабатты үйлерде жер сілкіс аяқталған соң ғимараттан шығыңыз кетер алдында суды газды электр қуатын мүмкіндігіңізше өшіріңіз дабыл жол сандығын алыңыз алдын ала дайындау қажет электр желілерден ғимарат ағаштардан аулақ болыңыз жер сілкінуіне дайын болыңыз қарт адамдарға балаларға мүмкіндігі шектеулі адамдарға көмек көрсетіңіз,"""['уайым']"""
елімізде халық саны артты қазақстандықтар қанша адамға көбейген жылғы қазанда қазақстан халқының саны адамға жетті ұлттық статистика бюросы қазандағы деректерді жариялады деп хабарлайды kaznurkz жыл басында халық саны адамды болған еді осылайша айдағы өсім мың адамды құрады қазақстанда қалада адам ал ауылдық жерлерде адам тұрады сонымен қатар қазақстанда әйелдер саны ерлерден көбірек әйелдер ал ерлер қазақстанда әлі де миллион тұрғыны бар үш қала бар астана алматы және шымкент,"""['қуаныш', 'нейтрал']"""
ақмола облысында пойыз жеңіл көлікті жаншып үш адам қаза тапты ақмола облысында пойыз жеңіл көлікті қағып үш адам қаза тапты автокөліктің жастағы жүргізушісі оқиға орнында көз жұмған ал екеуі ауруханада көз жұмды деп хабарлайды ктк арнасы телеарна мәліметінше степногорзоводской жолындағы темір жол өткелінде audi автокөлігі бос цистернамен келе жатқан локомотивке соғылған қаза тапқан үш адамнан бөлек тағы үш жолаушы түрлі жарақатпен степногор қаласындағы ауруханаға жеткізіліпті қайғылы оқиға бойынша тергеу жүріп жатыр оқиға орнында автокөлік жүргізушісі қайтыс болды екі жолаушы ауруханада көз жұмды тағы үш жолаушы түрлі жарақатпен степногорск ауруханаға жеткізілді тергеу шеңберінде апаттың мәнжайы мен себептері белгіленіп тергеу жүргізіліп жатыр ақмола облысы пд ақпаратсаясат бөлімінің жетекші маманы анар нүкенова,"""['таңқалу']"""
жылғы қараша криптовалюталардың долларға шаққандағы бағамы binance блокчейнэкожүйесінің ақпаратына сәйкес криптовалюта нарығындағы жылғы қараша күнгі жағдай мынадай биткоиннің долларға шаққандағы бағамы өткен тәулік ішінде ға төмендеді бүгін актив төңірегінде саудаланады tronix криптовалютасы бүгін кешегі күнмен салыстырғанда ға төмендеді trx бағамы жылғы қараша күні ды құрап отыр ethereumнің долларға шаққандағы бағамы ға төмендеді аталған криптовалютаның құны бүгінде ды құрап отыр decentraland криптовалютасы тәулік ішінде ға арзандады қазіргі уақытта актив деңгейінде саудаланып жатыр true usd тәулік ішінде ға төмендеді tusd бағамы жылғы қараша күні ды құрап отыр litecoin криптовалютасы ға нығая түсті актив деңгейінде саудаланып жатыр ethereum classic бағасы бүгінде ға төмендеді криптовалютаның өзекті құны ripple өткен күнмен салыстырғанда ға арзандады криптовалютаның бүгінгі құны dogecoin кешегі күнмен салыстырғанда ға өсті қазіргі уақытта актив деңгейінде саудаланып жатыр материал binance криптовалюталық биржасының деректері негізінде әзірленген бағамдарға қатысты ақпарат мақала жарияланған сәтте өзекті,"""['таңқалу']"""
танымал кәсіпкер дана қанапина көз жұмды астанада белгілі кәсіпкер танымал кондитердік желінің негізін қалаушы дана қанапина қайтыс болды оның соңғы жылдары денсаулығы сыр берген деп хабарлайды kaznurkz дананың көз жұмғаны туралы оның instagram дағы stories бөлімінде жазылды хабарландыруда қоштасу рәсімінің уақыты мен орны көрсетілген соңғы жылдары ол парақшасында онкология туралы жазбалар жариялап жүрген кәсіпкер қиын жағдайды қалай қабылдауға болатыны туралы жазған және сырларын бөліскен дана қанапина la creme кондитерлік желісінің delish кафесінің pâté наубайханасының және cult аспаздық курстар академиясының негізін қалаушы ретінде танымал ол кәсіпті күйеуі асқар қанапинмен бірге жүргізген,"""['таңқалу', 'қайғы']"""
жылғы қараша алматы астана және шымкенттегі қолмақол валюта бағамдары қазақстан республикасы ұлттық банкінің ресми деректеріне сәйкес бүгін жылғы қараша күнгі жағдай бойынша теңгенің долларға шаққандағы бағамы еуроға шаққандағы бағамы және рубльге шаққандағы бағамы мазмұны жылғы қараша алматыдағы валюта бағамы алматыдағы доллар бағамы алматыдағы еуро бағамы алматыдағы рубль бағамы жылғы қараша астанадағы валюта бағамы астанадағы доллар бағамы астанадағы еуро бағамы астанадағы рубль бағамы жылғы қараша шымкенттегі валюта бағамы шымкенттегі доллар бағамы шымкенттегі еуро бағамы шымкенттегі рубль бағамы жылғы қараша алматыдағы валюта бағамы алматының ақша айырбастау орындары мен қазақстанның банктерінде қолмақол долларды еуроны рубльді сату және сатып алу бойынша ағымдағы бағамдар мынадай алматыдағы доллар бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар centercredit миг som exchange halyk bank алматыда доллар сатып алу бойынша бүгінгі ең тиімді бағам миг болса сату бойынша ең тиімдісі миг алматыдағы еуро бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар миг centercredit halyk bank som exchange алматыда еуро сатып алу бойынша бүгінгі ең тиімді бағам миг болса сату бойынша ең тиімдісі som exchange алматыдағы рубль бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар som exchange centercredit миг halyk bank алматыда рубль сатып алу бойынша бүгінгі ең тиімді бағам миг болса сату бойынша ең тиімдісі som exchange жылғы қараша астанадағы валюта бағамы астананың ақша айырбастау орындары мен қазақстанның банктерінде қолмақол долларды еуроны рубльді сату және сатып алу бойынша ағымдағы бағамдар мынадай астанадағы доллар бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар halyk bank centercredit астанада доллар сатып алу бойынша бүгінгі ең тиімді бағам halyk bank болса сату бойынша ең тиімдісі centercredit астанадағы еуро бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар centercredit halyk bank астанада еуро сатып алу бойынша бүгінгі ең тиімді бағам halyk bank болса сату бойынша ең тиімдісі centercredit астанадағы рубль бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар centercredit halyk bank астанада рубль сатып алу бойынша бүгінгі ең тиімді бағам centercredit болса сату бойынша ең тиімдісі centercredit жылғы қараша шымкенттегі валюта бағамы шымкенттің ақша айырбастау орындары мен қазақстанның банктерінде қолмақол долларды еуроны рубльді сату және сатып алу бойынша ағымдағы бағамдар мынадай шымкенттегі доллар бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар centercredit halyk bank шымкентте доллар сатып алу бойынша бүгінгі ең тиімді бағам halyk bank болса сату бойынша ең тиімдісі centercredit шымкенттегі еуро бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар centercredit halyk bank шымкентте еуро сатып алу бойынша бүгінгі ең тиімді бағам halyk bank болса сату бойынша ең тиімдісі centercredit шымкенттегі рубль бағамы әртүрлі банк пен ақша айырбастау орнындағы бағамдар centercredit halyk bank шымкентте рубль сатып алу бойынша бүгінгі ең тиімді бағам centercredit болса сату бойынша ең тиімдісі centercredit ақпарат ресми дереккөздерден қазақстандық банктердің және алматы астана шымкент қалаларындағы ақша айырбастау орындарының сайттарынан алынды қалаңыздағы ең тиімді валюта бағамдары туралы ақпаратты бірінші алғыңыз келе ме telegramда біздің ботқа жазылыңыз валюталарды сату және сатып алу бойынша ең тиімді бағамдарға қатысты ақпарат мақаланы жариялаған сәтте өзекті теңге бағамы жылғы қараша алматы астана және шымкенттегі қолмақол валюта бағамдары кеше қараша жылғы қазан алматы астана және шымкенттегі қолмақол валюта бағамдары қазан тақырып бойынша,"""['нейтрал']"""
денсаулық сақтау министрлігі қазақстанда қай өңірде дәрігерлер жеткіліксіз екенін мәлімдеді денсаулық сақтау министрлігі медицина кадрларының тапшылығын шешу жолдарының бірі ретінде медициналық жоолардың түлектерін бөлу тетігін тиімдірек етуді ұсынады бұл туалы kaznurkz ведомствоға сілтеме жасап хабарлайды қазіргі уақытта медициналық жоолар түлектерінің үштен біріне жуығы бөлу бойынша жұмыс істемейді негізінен жұмысқа орналасу үшін жеке медициналық ұйымдарды артық көреді сонымен қатар мемлекеттік білім беру тапсырысы шеңберінде кадрларды даярлау мен жергілікті бюджет қаражатының есебінен кадрларды даярлаудың арасында үйлесімділік жоқ жао гранттары бұл медицина кадрларын тиімді жоспарлауға әсер етеді мамандардың жергілікті жерге жетуі бойынша мониторинг те әлсіз жүргізілудедеп атап өтті денсаулық сақтау бірінші вицеминистрі тимур сұлтанғазиев өз сөзінде абай облысындағы парламент сенатының көшпелі отырысында жағдайды өзгерту үшін пәрменді шаралар ретінде денсаулық сақтау министрлігі кадрлармен қамтамасыз етуде нақты үйлестіруді белгілеу қажет болған жағдайда жас мамандарды жұмысқа дербес бөлуді уәкілетті органның деңгейіне қайтаруды ұсынады екінші түлектердің жекелеген санаттары үшін жұмыс істеуді кейінге қалдыру резидентурада оқуды жалғастыруды енгізу мсак деңгейінде кемінде үш жыл жұмыс өтілі бар медицина қызметкерлері үшін ерте алдын ала бөлу рәсімін енгізу сонымен қатар кадрларды бөлуді реттеу және әлеуметтік қолдау шараларын көрсету жөніндегі жұмысты үйлестіру үшін жергілікті жерлерде өңірлік комиссиялар құрған жөн бұдан басқа ведомство кадрларды жергілікті жерлерде ұстап тұру және ауылдық жерлерде дәрігерлік қызметтің беделін арттыру үшін қосымша ынталандыру шараларының тұтас пакетін бастамашылық етеді олардың қатарында интерн дәрігерлеріне арналған білім беру бағдарламаларын жаңарту психологиялық қолдау бағдарламаларын ұйымдастыру және ұзақ тәжірибесі бар медицина қызметкерлерін ынталандыру жүйелерін енгізу және басқа да материалдық емес ынталандыру шаралары бар бұл бастамалар денсаулық сақтау жүйесін нығайтуға және ауылдық жерлерден медицина кадрларының кетуін азайтуға жағдай жасауға бағытталған хирургиялық топтың ең көп сұранысқа ие мамандығына анестезиологреаниматологтар кіреді қажеттілік ны хирургтар ды офтальмологтар ні оториноларингологтар ті ангиохирургтар ті құрайды босандыру қызметінің ең сұранысқа ие мамандары акушергинекологтар неонатологтар дәрігерлерге деген жоғары қажеттілік астана дәрігер алматы дәрігер шымкент дәрігер сияқты ірі қалаларда бар ауылдық елді мекендер деңгейінде медицина қызметкерлеріне ең үлкен сұраныс ақмола дәрігер түркістан дәрігер бқо дәрігер байқалады,"""['таңқалу', 'қайғы']"""
бүгін мегаполистердің бірінде қар жауады деп болжанды астана алматы мен шымкенте қараша күні ауа райы қандай болады ауа райы болжамын openweather порталы жария етті деп хабарлайды kaznurkz бүгін алматыда қара бұлт болады күндіз ауа температурасы градусқа дейін көтеріліп түнде градусқа дейін түседі желдің жылдамдығы мс болмақ астанада болжамынша қар болады күндіз ауа температурасы градусқа дейін жетіп түнде градусқа дейін төмендейді желдің жылдамдығы мс болады шымкентте бүгін ақша бұлт болады деп күтілуде күндіз термометр бағаны градусқа дейін жетіп түнде градусқа дейін түседі желдің жылдамдығы мс деңгейінде болмақ,"""['таңқалу', 'таңқалу']"""
